Brand,Car_Name,Issue,Model_Year,KMs_Driven,Maintenance_Cost
Maruti Suzuki,Celerio,Timing Belt Replacement,2012,109528,15678
Maruti Suzuki,Celerio,AC Repair,2025,18571,8123
Maruti Suzuki,Celerio,Steering Rack Repair,2024,43494,14263
Maruti Suzuki,Celerio,AC Repair,2015,192302,10853
Maruti Suzuki,Celerio,Wheel Balancing,2013,61444,5067
Maruti Suzuki,Celerio,Radiator Repair,2018,192283,12298
Maruti Suzuki,Celerio,Steering Rack Repair,2019,180932,32748
Maruti Suzuki,Celerio,Alternator Replacement,2013,188223,15610
Maruti Suzuki,Celerio,Brake Pad Replacement,2017,172547,15965
Maruti Suzuki,Celerio,Tyre Replacement,2024,54398,38675
Maruti Suzuki,Celerio,Clutch Replacement,2019,68552,13053
Maruti Suzuki,Celerio,Starter Motor Repair,2021,182396,13339
Maruti Suzuki,Celerio,Wheel Alignment,2019,175961,5472
Maruti Suzuki,Celerio,Alternator Replacement,2025,155991,17965
Maruti Suzuki,Celerio,Tyre Replacement,2024,169428,40426
Maruti Suzuki,Swift,Cabin Filter Replacement,2022,123449,7074
Maruti Suzuki,Swift,Engine Oil Change,2016,48989,5521
Maruti Suzuki,Swift,Shock Absorber Replacement,2018,130427,13675
Maruti Suzuki,Swift,Engine Overheating,2024,79163,24991
Maruti Suzuki,Swift,Coolant Replacement,2024,22268,2727
Maruti Suzuki,Swift,Spark Plug Replacement,2014,107220,6536
Maruti Suzuki,Swift,Cabin Filter Replacement,2015,162608,6455
Maruti Suzuki,Swift,Alternator Replacement,2016,78405,16563
Maruti Suzuki,Swift,Wheel Alignment,2024,111633,5040
Maruti Suzuki,Swift,Brake Pad Replacement,2012,13228,6085
Maruti Suzuki,Swift,Tyre Replacement,2023,186084,27209
Maruti Suzuki,Swift,Headlight Replacement,2012,20741,9537
Maruti Suzuki,Swift,Tyre Replacement,2012,127951,20599
Maruti Suzuki,Swift,Shock Absorber Replacement,2013,139446,19895
Maruti Suzuki,Swift,Engine Overheating,2021,176671,10138
Maruti Suzuki,Swift,Fuel Pump Repair,2013,178102,17635
Maruti Suzuki,Swift,Alternator Replacement,2013,117365,15791
Maruti Suzuki,Swift,AC Repair,2018,111588,18309
Maruti Suzuki,Swift,Cabin Filter Replacement,2016,190502,11179
Maruti Suzuki,Swift,Steering Rack Repair,2015,189553,25107
Maruti Suzuki,Dzire,Tyre Replacement,2024,114402,21499
Maruti Suzuki,Dzire,Spark Plug Replacement,2019,14633,4871
Maruti Suzuki,Dzire,Air Filter Replacement,2025,92739,5081
Maruti Suzuki,Dzire,Engine Overheating,2015,185336,25488
Maruti Suzuki,Dzire,Clutch Replacement,2016,59481,15707
Maruti Suzuki,Dzire,Brake Pad Replacement,2018,148673,11187
Maruti Suzuki,Dzire,Alternator Replacement,2017,11311,7632
Maruti Suzuki,Dzire,Starter Motor Repair,2015,108861,9129
Maruti Suzuki,Dzire,Coolant Leak,2016,124111,5327
Maruti Suzuki,Dzire,Headlight Replacement,2017,107242,5544
Maruti Suzuki,Dzire,Air Filter Replacement,2023,194183,5810
Maruti Suzuki,Dzire,Battery Replacement,2017,97913,13124
Maruti Suzuki,Dzire,Headlight Replacement,2019,108844,11328
Maruti Suzuki,Dzire,AC Repair,2022,18267,6375
Maruti Suzuki,Dzire,Headlight Replacement,2013,98170,12179
Maruti Suzuki,Dzire,Brake Fluid Change,2025,70899,3705
Maruti Suzuki,Dzire,Engine Oil Change,2023,187165,6242
Maruti Suzuki,Dzire,Engine Overheating,2021,118095,10846
Maruti Suzuki,Dzire,Engine Oil Change,2012,182058,10086
Maruti Suzuki,Dzire,Engine Overheating,2015,12370,9663
Maruti Suzuki,Baleno,Wheel Alignment,2022,81828,4156
Maruti Suzuki,Baleno,Starter Motor Repair,2019,107648,6224
Maruti Suzuki,Baleno,Battery Replacement,2012,30792,9366
Maruti Suzuki,Baleno,Fuel Pump Repair,2023,25350,7706
Maruti Suzuki,Baleno,Steering Rack Repair,2025,133276,33190
Maruti Suzuki,Baleno,Starter Motor Repair,2012,160191,16861
Maruti Suzuki,Baleno,Air Filter Replacement,2014,66174,4629
Maruti Suzuki,Baleno,Fuel Pump Repair,2015,142813,13740
Maruti Suzuki,Baleno,Alternator Replacement,2019,52757,9698
Maruti Suzuki,Baleno,Wheel Balancing,2025,21835,1786
Maruti Suzuki,Baleno,Tyre Replacement,2021,152499,32165
Maruti Suzuki,Baleno,Starter Motor Repair,2025,179863,11133
Maruti Suzuki,Baleno,Engine Overheating,2025,103064,8873
Maruti Suzuki,Baleno,Timing Belt Replacement,2012,93225,10138
Maruti Suzuki,Baleno,Cabin Filter Replacement,2025,182492,8707
Maruti Suzuki,Baleno,Wheel Alignment,2024,11708,1376
Maruti Suzuki,Baleno,Gearbox Repair,2023,73809,48736
Maruti Suzuki,Baleno,Spark Plug Replacement,2021,117514,5575
Maruti Suzuki,Baleno,Cabin Filter Replacement,2021,160823,3677
Maruti Suzuki,Baleno,Battery Replacement,2016,125109,11650
Maruti Suzuki,Fronx,Gearbox Repair,2022,179123,49440
Maruti Suzuki,Fronx,Starter Motor Repair,2017,90341,14065
Maruti Suzuki,Fronx,Starter Motor Repair,2016,87013,18718
Maruti Suzuki,Fronx,Coolant Replacement,2017,30587,3362
Maruti Suzuki,Fronx,Fuel Pump Repair,2013,67641,8083
Maruti Suzuki,Fronx,Alternator Replacement,2018,39004,18911
Maruti Suzuki,Fronx,Coolant Leak,2020,198270,12623
Maruti Suzuki,Fronx,Clutch Replacement,2024,65100,15127
Maruti Suzuki,Fronx,AC Repair,2023,179720,14640
Maruti Suzuki,Fronx,Shock Absorber Replacement,2025,192811,24186
Maruti Suzuki,Fronx,Clutch Replacement,2020,110488,19828
Maruti Suzuki,Fronx,Coolant Leak,2022,173861,11616
Maruti Suzuki,Fronx,Steering Rack Repair,2021,10576,18057
Maruti Suzuki,Fronx,Fuel Pump Repair,2024,136663,15537
Maruti Suzuki,Fronx,AC Repair,2018,160162,18453
Maruti Suzuki,Fronx,Brake Pad Replacement,2013,156215,10487
Maruti Suzuki,Fronx,Fuel Pump Repair,2023,192697,15065
Maruti Suzuki,Fronx,AC Repair,2013,7565,14869
Maruti Suzuki,Fronx,Coolant Replacement,2022,122286,4867
Maruti Suzuki,Fronx,Shock Absorber Replacement,2025,147875,9177
Maruti Suzuki,Brezza,Brake Pad Replacement,2014,99067,7519
Maruti Suzuki,Brezza,Gearbox Repair,2021,62020,58544
Maruti Suzuki,Brezza,Engine Overheating,2021,70366,16847
Maruti Suzuki,Brezza,Starter Motor Repair,2020,93629,17943
Maruti Suzuki,Brezza,Headlight Replacement,2022,132666,8002
Maruti Suzuki,Brezza,Alternator Replacement,2014,180188,15375
Maruti Suzuki,Brezza,Engine Overheating,2022,98756,24746
Maruti Suzuki,Brezza,Radiator Repair,2019,145984,13771
Maruti Suzuki,Brezza,Wheel Alignment,2012,31127,2421
Maruti Suzuki,Brezza,Alternator Replacement,2021,42992,15615
Maruti Suzuki,Brezza,Wheel Alignment,2023,20889,2416
Maruti Suzuki,Brezza,Coolant Replacement,2014,47790,3788
Maruti Suzuki,Brezza,Starter Motor Repair,2016,189740,13159
Maruti Suzuki,Brezza,Battery Replacement,2015,55675,13664
Maruti Suzuki,Brezza,Brake Fluid Change,2019,70940,3976
Maruti Suzuki,Brezza,Engine Oil Change,2016,35706,4167
Maruti Suzuki,Brezza,Alternator Replacement,2025,71919,14340
Maruti Suzuki,Brezza,Spark Plug Replacement,2014,114013,7214
Maruti Suzuki,Brezza,Alternator Replacement,2018,189651,23868
Maruti Suzuki,Brezza,Tyre Replacement,2020,107873,22281
Maruti Suzuki,Ertiga,Engine Oil Change,2012,11647,6119
Maruti Suzuki,Ertiga,Shock Absorber Replacement,2019,81971,16946
Maruti Suzuki,Ertiga,Brake Fluid Change,2012,71150,5896
Maruti Suzuki,Ertiga,Fuel Pump Repair,2020,123382,11383
Maruti Suzuki,Ertiga,Headlight Replacement,2015,65707,9521
Maruti Suzuki,Ertiga,Fuel Pump Repair,2012,78002,11286
Maruti Suzuki,Ertiga,Engine Overheating,2022,30334,24889
Maruti Suzuki,Ertiga,Starter Motor Repair,2013,159611,9705
Maruti Suzuki,Ertiga,Engine Overheating,2016,56419,16910
Maruti Suzuki,Ertiga,Spark Plug Replacement,2020,127856,5779
Maruti Suzuki,Ertiga,Coolant Replacement,2020,99564,3385
Maruti Suzuki,Ertiga,AC Repair,2014,150774,11899
Maruti Suzuki,Ertiga,Wheel Alignment,2013,139423,8465
Maruti Suzuki,Ertiga,Headlight Replacement,2021,9009,6841
Maruti Suzuki,Ertiga,Cabin Filter Replacement,2016,16940,3447
Maruti Suzuki,Ertiga,Battery Replacement,2013,120077,13442
Maruti Suzuki,Ertiga,Alternator Replacement,2021,61588,7987
Maruti Suzuki,Ertiga,Gearbox Repair,2022,125152,35211
Maruti Suzuki,Ertiga,Wheel Alignment,2023,28169,2084
Maruti Suzuki,Ertiga,Starter Motor Repair,2024,66575,6891
Maruti Suzuki,XL6,Brake Pad Replacement,2025,94658,10131
Maruti Suzuki,XL6,Suspension Repair,2022,87720,8625
Maruti Suzuki,XL6,Battery Replacement,2019,43505,8673
Maruti Suzuki,XL6,Starter Motor Repair,2015,26871,15299
Maruti Suzuki,XL6,Spark Plug Replacement,2025,143955,7233
Maruti Suzuki,XL6,Coolant Leak,2012,148287,11063
Maruti Suzuki,XL6,Spark Plug Replacement,2025,159320,9935
Maruti Suzuki,XL6,Tyre Replacement,2025,190861,36213
Maruti Suzuki,XL6,Fuel Pump Repair,2022,148882,12607
Maruti Suzuki,XL6,AC Repair,2023,41901,10467
Maruti Suzuki,XL6,Steering Rack Repair,2014,196257,26512
Maruti Suzuki,XL6,Spark Plug Replacement,2013,180769,6147
Maruti Suzuki,XL6,Wheel Alignment,2021,154274,8800
Maruti Suzuki,XL6,Suspension Repair,2020,31008,12513
Maruti Suzuki,XL6,Shock Absorber Replacement,2024,69279,17261
Maruti Suzuki,XL6,Alternator Replacement,2018,57335,16094
Maruti Suzuki,XL6,Timing Belt Replacement,2024,150031,9339
Maruti Suzuki,XL6,Shock Absorber Replacement,2015,68872,9112
Maruti Suzuki,XL6,Engine Overheating,2012,179258,14259
Maruti Suzuki,XL6,Clutch Replacement,2020,88819,18193
Maruti Suzuki,Grand Vitara,Air Filter Replacement,2017,167259,8952
Maruti Suzuki,Grand Vitara,Suspension Repair,2017,11170,15284
Maruti Suzuki,Grand Vitara,Starter Motor Repair,2018,114847,19787
Maruti Suzuki,Grand Vitara,Air Filter Replacement,2025,87946,5620
Maruti Suzuki,Grand Vitara,Spark Plug Replacement,2025,37876,3365
Maruti Suzuki,Grand Vitara,Radiator Repair,2024,194629,9963
Maruti Suzuki,Grand Vitara,Wheel Balancing,2017,64190,5271
Maruti Suzuki,Grand Vitara,Clutch Replacement,2014,84320,15399
Maruti Suzuki,Grand Vitara,Shock Absorber Replacement,2016,19057,7149
Maruti Suzuki,Grand Vitara,Headlight Replacement,2023,171202,12966
Maruti Suzuki,Grand Vitara,AC Repair,2022,83840,13823
Maruti Suzuki,Grand Vitara,Brake Fluid Change,2019,65350,4155
Maruti Suzuki,Grand Vitara,AC Repair,2024,155553,11322
Maruti Suzuki,Grand Vitara,Starter Motor Repair,2013,79737,16281
Maruti Suzuki,Grand Vitara,AC Repair,2015,135313,14972
Maruti Suzuki,Grand Vitara,Engine Oil Change,2021,186315,11371
Maruti Suzuki,Grand Vitara,Shock Absorber Replacement,2023,187312,16829
Maruti Suzuki,Grand Vitara,Radiator Repair,2018,108570,11105
Maruti Suzuki,Grand Vitara,Wheel Alignment,2024,157028,6996
Maruti Suzuki,Grand Vitara,Wheel Balancing,2022,109836,4919
Maruti Suzuki,Invicto,Engine Overheating,2018,121029,11732
Maruti Suzuki,Invicto,Wheel Balancing,2022,33101,2377
Maruti Suzuki,Invicto,Starter Motor Repair,2023,112945,13310
Maruti Suzuki,Invicto,Headlight Replacement,2025,66077,11969
Maruti Suzuki,Invicto,Engine Oil Change,2016,103705,6631
Maruti Suzuki,Invicto,Battery Replacement,2022,88432,13813
Maruti Suzuki,Invicto,Engine Oil Change,2023,177168,11741
Maruti Suzuki,Invicto,Tyre Replacement,2021,167682,44815
Maruti Suzuki,Invicto,Brake Pad Replacement,2025,94118,9436
Maruti Suzuki,Invicto,Battery Replacement,2017,177760,12932
Maruti Suzuki,Invicto,Wheel Balancing,2015,158278,3124
Maruti Suzuki,Invicto,Shock Absorber Replacement,2017,191825,20604
Maruti Suzuki,Invicto,Fuel Pump Repair,2014,92587,15431
Maruti Suzuki,Invicto,Fuel Pump Repair,2020,152308,21498
Maruti Suzuki,Invicto,Coolant Replacement,2024,82720,3918
Maruti Suzuki,Invicto,Gearbox Repair,2021,36221,23759
Maruti Suzuki,Invicto,Coolant Replacement,2025,159798,5068
Maruti Suzuki,Invicto,Spark Plug Replacement,2016,14090,4687
Maruti Suzuki,Invicto,Timing Belt Replacement,2016,179130,13405
Maruti Suzuki,Invicto,Fuel Pump Repair,2018,196868,17460
Hyundai,Grand i10 Nios,Engine Overheating,2020,134358,8713
Hyundai,Grand i10 Nios,Engine Oil Change,2012,118193,6231
Hyundai,Grand i10 Nios,Tyre Replacement,2012,123470,21531
Hyundai,Grand i10 Nios,Coolant Leak,2019,115920,9111
Hyundai,Grand i10 Nios,Cabin Filter Replacement,2017,136207,6686
Hyundai,Grand i10 Nios,Wheel Balancing,2025,19968,1292
Hyundai,Grand i10 Nios,Shock Absorber Replacement,2025,131178,18799
Hyundai,Grand i10 Nios,Clutch Replacement,2020,193447,22404
Hyundai,Grand i10 Nios,AC Repair,2016,173001,17503
Hyundai,Grand i10 Nios,Air Filter Replacement,2023,170280,5472
Hyundai,Grand i10 Nios,Fuel Pump Repair,2014,171356,11934
Hyundai,Grand i10 Nios,Wheel Alignment,2025,43476,2453
Hyundai,Grand i10 Nios,Battery Replacement,2019,12970,12814
Hyundai,Grand i10 Nios,Battery Replacement,2012,21278,10169
Hyundai,Grand i10 Nios,Tyre Replacement,2012,146694,28032
Hyundai,Grand i10 Nios,Engine Overheating,2013,50015,25108
Hyundai,Grand i10 Nios,Gearbox Repair,2025,158254,36535
Hyundai,Grand i10 Nios,Brake Fluid Change,2018,194846,9857
Hyundai,Grand i10 Nios,Clutch Replacement,2024,141958,15252
Hyundai,Grand i10 Nios,Timing Belt Replacement,2022,153226,13077
Hyundai,i20,Timing Belt Replacement,2023,12841,5894
Hyundai,i20,Gearbox Repair,2021,155589,21172
Hyundai,i20,Radiator Repair,2023,92803,5127
Hyundai,i20,Battery Replacement,2024,142622,10463
Hyundai,i20,Tyre Replacement,2014,78764,23381
Hyundai,i20,Cabin Filter Replacement,2013,40820,4337
Hyundai,i20,Fuel Pump Repair,2016,192397,14531
Hyundai,i20,Shock Absorber Replacement,2022,115674,19807
Hyundai,i20,Timing Belt Replacement,2024,7193,8697
Hyundai,i20,Engine Oil Change,2014,67114,8051
Hyundai,i20,Coolant Replacement,2022,194754,8425
Hyundai,i20,Brake Pad Replacement,2023,133391,8819
Hyundai,i20,AC Repair,2025,149749,15555
Hyundai,i20,Tyre Replacement,2024,124633,24418
Hyundai,i20,Battery Replacement,2014,66313,7767
Hyundai,i20,Engine Overheating,2021,132251,13726
Hyundai,i20,Headlight Replacement,2015,113051,10437
Hyundai,i20,Radiator Repair,2016,113411,9533
Hyundai,i20,Brake Pad Replacement,2013,193900,12162
Hyundai,i20,Headlight Replacement,2015,119414,7741
Hyundai,Aura,Cabin Filter Replacement,2017,68012,5810
Hyundai,Aura,Steering Rack Repair,2019,153158,32640
Hyundai,Aura,Engine Oil Change,2024,105363,8638
Hyundai,Aura,Coolant Replacement,2014,123812,5031
Hyundai,Aura,Wheel Alignment,2025,66768,2881
Hyundai,Aura,Engine Overheating,2013,64979,25364
Hyundai,Aura,Radiator Repair,2012,18294,8395
Hyundai,Aura,Fuel Pump Repair,2024,132278,14648
Hyundai,Aura,Suspension Repair,2022,198920,23774
Hyundai,Aura,Battery Replacement,2020,97314,12796
Hyundai,Aura,Coolant Replacement,2018,96924,4547
Hyundai,Aura,Suspension Repair,2018,143423,30889
Hyundai,Aura,Clutch Replacement,2025,138998,12364
Hyundai,Aura,Wheel Balancing,2015,152267,8937
Hyundai,Aura,Coolant Leak,2015,186417,10972
Hyundai,Aura,Engine Overheating,2025,95589,15403
Hyundai,Aura,Engine Overheating,2019,188920,26601
Hyundai,Aura,Clutch Replacement,2016,15254,15318
Hyundai,Aura,Battery Replacement,2015,34391,13057
Hyundai,Aura,Tyre Replacement,2014,102917,37073
Hyundai,Exter,Air Filter Replacement,2018,120303,6758
Hyundai,Exter,Cabin Filter Replacement,2020,160369,3656
Hyundai,Exter,Shock Absorber Replacement,2023,29006,6685
Hyundai,Exter,Cabin Filter Replacement,2025,122426,2763
Hyundai,Exter,Spark Plug Replacement,2021,74946,6098
Hyundai,Exter,Gearbox Repair,2019,20309,35969
Hyundai,Exter,Starter Motor Repair,2017,127487,9171
Hyundai,Exter,Coolant Leak,2020,166377,10838
Hyundai,Exter,Wheel Alignment,2021,193267,10516
Hyundai,Exter,Spark Plug Replacement,2020,184026,9895
Hyundai,Exter,Wheel Balancing,2021,125391,7314
Hyundai,Exter,Steering Rack Repair,2018,75569,18938
Hyundai,Exter,AC Repair,2023,191976,14266
Hyundai,Exter,Spark Plug Replacement,2019,98401,8150
Hyundai,Exter,Fuel Pump Repair,2017,35876,15952
Hyundai,Exter,Coolant Replacement,2017,84691,4372
Hyundai,Exter,Radiator Repair,2023,178064,11481
Hyundai,Exter,Clutch Replacement,2017,151361,20315
Hyundai,Exter,Air Filter Replacement,2017,80412,2749
Hyundai,Exter,Starter Motor Repair,2022,59528,10300
Hyundai,Venue,Fuel Pump Repair,2025,25245,9177
Hyundai,Venue,Air Filter Replacement,2018,92772,5907
Hyundai,Venue,Starter Motor Repair,2018,132900,15581
Hyundai,Venue,Brake Fluid Change,2016,103789,4077
Hyundai,Venue,Coolant Replacement,2023,104952,5711
Hyundai,Venue,Headlight Replacement,2015,97603,10406
Hyundai,Venue,Gearbox Repair,2025,104270,29641
Hyundai,Venue,Starter Motor Repair,2025,105066,15990
Hyundai,Venue,Coolant Leak,2022,187963,11450
Hyundai,Venue,Suspension Repair,2015,177054,14382
Hyundai,Venue,Battery Replacement,2023,131400,14472
Hyundai,Venue,Starter Motor Repair,2022,90821,7724
Hyundai,Venue,Timing Belt Replacement,2018,81430,13299
Hyundai,Venue,Brake Pad Replacement,2018,157412,10573
Hyundai,Venue,Suspension Repair,2012,92272,24258
Hyundai,Venue,Coolant Replacement,2016,15559,3312
Hyundai,Venue,Alternator Replacement,2012,18797,15382
Hyundai,Venue,Clutch Replacement,2016,91766,21353
Hyundai,Venue,Fuel Pump Repair,2015,30497,13330
Hyundai,Venue,Shock Absorber Replacement,2019,74044,18374
Hyundai,Verna,Timing Belt Replacement,2014,150439,8465
Hyundai,Verna,Wheel Alignment,2014,155035,9086
Hyundai,Verna,Starter Motor Repair,2018,69091,10559
Hyundai,Verna,AC Repair,2013,169431,12564
Hyundai,Verna,Tyre Replacement,2018,78855,30961
Hyundai,Verna,Wheel Alignment,2020,165861,7574
Hyundai,Verna,Wheel Balancing,2019,76453,4496
Hyundai,Verna,Fuel Pump Repair,2020,184984,17162
Hyundai,Verna,Timing Belt Replacement,2017,79793,9923
Hyundai,Verna,Engine Oil Change,2021,74911,4423
Hyundai,Verna,Shock Absorber Replacement,2018,98745,20764
Hyundai,Verna,Timing Belt Replacement,2016,157007,10962
Hyundai,Verna,Air Filter Replacement,2025,150687,9001
Hyundai,Verna,Radiator Repair,2025,124384,10437
Hyundai,Verna,Cabin Filter Replacement,2012,6120,2922
Hyundai,Verna,Steering Rack Repair,2021,35714,14451
Hyundai,Verna,Air Filter Replacement,2019,122099,3831
Hyundai,Verna,Tyre Replacement,2014,146345,38453
Hyundai,Verna,Clutch Replacement,2012,6130,10111
Hyundai,Verna,Gearbox Repair,2022,74767,52670
Hyundai,Creta,Air Filter Replacement,2017,56324,3389
Hyundai,Creta,Brake Fluid Change,2018,59634,2742
Hyundai,Creta,Brake Pad Replacement,2019,125769,8130
Hyundai,Creta,Steering Rack Repair,2020,56564,19537
Hyundai,Creta,Suspension Repair,2017,173471,12722
Hyundai,Creta,Alternator Replacement,2012,18299,16670
Hyundai,Creta,Coolant Replacement,2015,149017,6394
Hyundai,Creta,Wheel Alignment,2015,66848,4392
Hyundai,Creta,Air Filter Replacement,2023,39871,3281
Hyundai,Creta,Fuel Pump Repair,2019,147568,14093
Hyundai,Creta,Suspension Repair,2022,104180,22451
Hyundai,Creta,Brake Pad Replacement,2012,61009,8504
Hyundai,Creta,Battery Replacement,2014,86245,14422
Hyundai,Creta,Alternator Replacement,2021,104701,7838
Hyundai,Creta,Coolant Replacement,2014,60903,3714
Hyundai,Creta,Tyre Replacement,2020,93795,15542
Hyundai,Creta,Battery Replacement,2021,113356,9359
Hyundai,Creta,Battery Replacement,2025,193719,13946
Hyundai,Creta,Wheel Balancing,2022,134671,7613
Hyundai,Creta,Starter Motor Repair,2014,14650,15083
Hyundai,Alcazar,Wheel Alignment,2016,167241,7949
Hyundai,Alcazar,Steering Rack Repair,2012,192213,22994
Hyundai,Alcazar,AC Repair,2013,66068,13230
Hyundai,Alcazar,Alternator Replacement,2023,110994,17989
Hyundai,Alcazar,Alternator Replacement,2022,154105,18321
Hyundai,Alcazar,Alternator Replacement,2025,94372,16621
Hyundai,Alcazar,Engine Oil Change,2019,44854,4197
Hyundai,Alcazar,Starter Motor Repair,2023,73574,10778
Hyundai,Alcazar,Alternator Replacement,2023,114015,15381
Hyundai,Alcazar,Cabin Filter Replacement,2021,80606,3420
Hyundai,Alcazar,Timing Belt Replacement,2024,147836,11374
Hyundai,Alcazar,Coolant Replacement,2023,185639,6699
Hyundai,Alcazar,Tyre Replacement,2024,108685,34895
Hyundai,Alcazar,Cabin Filter Replacement,2013,148805,6014
Hyundai,Alcazar,Coolant Replacement,2015,70968,4199
Hyundai,Alcazar,Steering Rack Repair,2024,27454,18388
Hyundai,Alcazar,Battery Replacement,2017,187973,15283
Hyundai,Alcazar,Shock Absorber Replacement,2013,102541,8566
Hyundai,Alcazar,Wheel Balancing,2019,43765,2141
Hyundai,Alcazar,Cabin Filter Replacement,2023,113985,6326
Hyundai,Tucson,Battery Replacement,2019,48192,11668
Hyundai,Tucson,Coolant Replacement,2017,66007,5239
Hyundai,Tucson,Wheel Balancing,2019,14726,1860
Hyundai,Tucson,Timing Belt Replacement,2025,135318,16796
Hyundai,Tucson,Clutch Replacement,2020,57913,19162
Hyundai,Tucson,Steering Rack Repair,2013,171733,28605
Hyundai,Tucson,Starter Motor Repair,2018,91087,9524
Hyundai,Tucson,Timing Belt Replacement,2024,155200,13555
Hyundai,Tucson,Shock Absorber Replacement,2023,91493,10796
Hyundai,Tucson,Wheel Alignment,2019,134254,6707
Hyundai,Tucson,Coolant Leak,2015,181151,7658
Hyundai,Tucson,Headlight Replacement,2014,101881,12852
Hyundai,Tucson,Wheel Balancing,2024,69218,4302
Hyundai,Tucson,Engine Overheating,2023,99819,20252
Hyundai,Tucson,Coolant Leak,2013,73624,10562
Hyundai,Tucson,Coolant Replacement,2016,82879,4682
